code,descr,lang_code,is_active,cr_by,cr_dtimes
RS_DOW_UIN_SUCCESS_SMS,Successful Download of e-UIN SMS,fra,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Successful Locking of Auth Types Email,fra,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Successful Locking of Auth Types Email Subject,fra,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_SMS,Successful Locking of Auth Types SMS,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL,Successful Unlocking of Auth Types Email,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL_SUB,Successful Unlocking of Auth Types Email Subject,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_SMS,Successful Unlocking of Auth Types SMS,fra,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_EMAIL,VID Generation Success Email,fra,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_EMAIL_SUB,VID Generation Success Email Subject,fra,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_SMS,VID Generation Success SMS,fra,TRUE,admin,now()
RS_VIN_REV_SUCCESS_EMAIL,VID Revocation Success Email,fra,TRUE,admin,now()
RS_VIN_REV_SUCCESS_EMAIL_SUB,VID Revocation Success Email Subject,fra,TRUE,admin,now()
RS_VIN_REV_SUCCESS_SMS,VID Revocation Success SMS,fra,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_EMAIL,Reprint Request Success Email,fra,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_EMAIL_SUB,Reprint Request Success Email Subject,fra,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_SMS,Reprint Request Success SMS,fra,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_EMAIL,Authentication History Request Failure Email,fra,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Authentication History Request Failure Email Subject,fra,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_SMS,Authentication History Request Failure SMS,fra,TRUE,admin,now()
RS_DOW_UIN_FAILURE_EMAIL,Download e-UIN Failure Email,fra,TRUE,admin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Download e-UIN Failure Email Subject,fra,TRUE,admin,now()
RS_DOW_UIN_FAILURE_SMS,Download e-UIN Failure SMS,fra,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Failure in Locking of Auth Types Email,fra,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Failure in Locking of Auth Types Email Subject,fra,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_SMS,Failure in Locking of Auth Types SMS,fra,TRUE,admin,now()
RS_UIN_RPR_FAILURE_EMAIL,Reprint Request Failure Email,fra,TRUE,admin,now()
RS_UIN_RPR_FAILURE_EMAIL_SUB,Reprint Request Failure Email Subject,fra,TRUE,admin,now()
RS_UIN_RPR_FAILURE_SMS,Reprint Request Failure SMS,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL,Failure in Unlocking of Auth Types Email,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL_SUB,Failure in Unlocking of Auth Types Email Subject,fra,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_SMS,Failure in Unlocking of Auth Types SMS,fra,TRUE,admin,now()
RS_VIN_GEN_FAILURE_EMAIL,VID Generation Failure Email,fra,TRUE,admin,now()
RS_VIN_GEN_FAILURE_EMAIL_SUB,VID Generation Failure Email Subject,fra,TRUE,admin,now()
RS_VIN_GEN_FAILURE_SMS,VID Generation Failure SMS,fra,TRUE,admin,now()
RS_VIN_REV_FAILURE_EMAIL,VID Revocation Failure Email,fra,TRUE,admin,now()
RS_VIN_REV_FAILURE_EMAIL_SUB,VID Revocation Failure Email Subject,fra,TRUE,admin,now()
RS_VIN_REV_FAILURE_SMS,VID Revocation Failure SMS,fra,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL,UIN Update Request Placed Successfully Email,fra,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL_SUB,UIN Update Request Placed Successfully Email Subject,fra,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_SMS,UIN Update Request Placed Successfully SMS,fra,TRUE,admin,now()
RS_UIN_UPDATE_FAILURE_EMAIL,UIN Update Request Failed Email,fra,TRUE,admin,now()
RS_UIN_UPDATE_FAILURE_EMAIL_SUB,UIN Update Request Failed Email Subject,fra,TRUE,admin,now()
RS_UIN_UPDATE_FAILURE_SMS,UIN Update Request Failed SMS,fra,TRUE,admin,now()
RPR_RPV_SUC_EMAIL,Registration Packet Validation Success Email,fra,TRUE,admin,now()
RPR_RPV_SUC_SMS,Registration Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_UPV_SUC_EMAIL,Update Packet Validation Success Email,fra,TRUE,admin,now()
RPR_UPV_SUC_SMS,Update Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_LPV_SUC_EMAIL,Lost Packet Validation Success Email,fra,TRUE,admin,now()
RPR_LPV_SUC_SMS,Lost Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_RUPV_SUC_EMAIL,Resident Update Packet Validation Success Email,fra,TRUE,admin,now()
RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,fra,TRUE,admin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,fra,TRUE,admin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,fra,TRUE,admin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,fra,TRUE,admin,now()
mosip.auth-type-code.Wallet,Wallet,ara,TRUE,admin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,fra,TRUE,admin,now()
